loss,mae,val_loss,val_mae,learning_rate
0.039907317608594894,0.14700308442115784,0.013599401339888573,0.09346847981214523,0.0010000000474974513
0.014461218379437923,0.09475971013307571,0.01430532056838274,0.09264446794986725,0.0010000000474974513
0.013185009360313416,0.09057492762804031,0.011122828349471092,0.08193324506282806,0.0010000000474974513
0.013093235902488232,0.09032298624515533,0.007928269915282726,0.06978845596313477,0.0010000000474974513
0.010969815775752068,0.08235646039247513,0.0062821004539728165,0.06219274178147316,0.0010000000474974513
0.009091850370168686,0.07504071295261383,0.0055260322988033295,0.05775946006178856,0.0010000000474974513
0.006669653579592705,0.06345972418785095,0.004910301882773638,0.05519352853298187,0.0010000000474974513
0.005836158059537411,0.06010659039020538,0.004697869531810284,0.052923157811164856,0.0010000000474974513
0.005575641058385372,0.0583096444606781,0.0037522055208683014,0.04864467680454254,0.0010000000474974513
0.005526758264750242,0.0581098236143589,0.0036501570139080286,0.04697041213512421,0.0010000000474974513
0.0053117419593036175,0.05777944624423981,0.004472747910767794,0.05228487774729729,0.0010000000474974513
0.00495464401319623,0.0559864304959774,0.0035807574167847633,0.046342633664608,0.0010000000474974513
0.00504644401371479,0.055731598287820816,0.003386376891285181,0.045621927827596664,0.0010000000474974513
0.004592369310557842,0.052699197083711624,0.004001946654170752,0.048996131867170334,0.0010000000474974513
0.004639738705009222,0.05330752208828926,0.003634672611951828,0.047108881175518036,0.0010000000474974513
0.004396086558699608,0.052560459822416306,0.0035760034807026386,0.046489417552948,0.0010000000474974513
0.004154241178184748,0.05034799873828888,0.0033646884839981794,0.044946495443582535,0.0010000000474974513
0.004106360487639904,0.0502176396548748,0.003152048448100686,0.043769851326942444,0.0010000000474974513
0.004357151221483946,0.0512116439640522,0.0029389704577624798,0.042264848947525024,0.0010000000474974513
0.003965831361711025,0.04936504736542702,0.0036920581478625536,0.0472874715924263,0.0010000000474974513
0.003536356147378683,0.04721829667687416,0.003616221249103546,0.047268837690353394,0.0010000000474974513
0.0038056112825870514,0.048171281814575195,0.003829315071925521,0.04805271327495575,0.0010000000474974513
0.003599091200158,0.0469982735812664,0.003909642808139324,0.04925304651260376,0.0010000000474974513
0.003309916704893112,0.04580982029438019,0.003944149240851402,0.04998566955327988,0.0010000000474974513
0.003010164014995098,0.04369274154305458,0.0032033096067607403,0.04423954710364342,0.0005000000237487257
0.0030392163898795843,0.043413855135440826,0.0032407406251877546,0.044313158839941025,0.0005000000237487257
0.0027919155545532703,0.0419282503426075,0.0030120881274342537,0.04231015220284462,0.0005000000237487257
0.0029210469219833612,0.042544737458229065,0.0027321898378431797,0.040381960570812225,0.0005000000237487257
0.0028949875850230455,0.04247882589697838,0.002770261373370886,0.040614910423755646,0.0005000000237487257
0.0028440034948289394,0.04233280569314957,0.002522665075957775,0.03889719396829605,0.0005000000237487257
0.002679855329915881,0.04063215106725693,0.002583487657830119,0.03894340246915817,0.0005000000237487257
0.00305538740940392,0.04377084970474243,0.0024221502244472504,0.0382416695356369,0.0005000000237487257
0.0028004420455545187,0.041838761419057846,0.0023795864544808865,0.03741062432527542,0.0005000000237487257
0.0030246435198932886,0.043369658291339874,0.002222549868747592,0.03660938888788223,0.0005000000237487257
0.002731732791289687,0.04102801904082298,0.0023742481134831905,0.03753282129764557,0.0005000000237487257
0.002980408724397421,0.04265064746141434,0.002344172215089202,0.037494957447052,0.0005000000237487257
0.0028450682293623686,0.04212484508752823,0.0023354217410087585,0.03685804829001427,0.0005000000237487257
0.002836350118741393,0.04212099686264992,0.0024130139499902725,0.03713511675596237,0.0005000000237487257
0.002687877044081688,0.04130670428276062,0.0024496889673173428,0.03768260031938553,0.0005000000237487257
0.0025347124319523573,0.0401354655623436,0.003508330322802067,0.04733000695705414,0.0002500000118743628
0.0027080147992819548,0.04063142463564873,0.0033697171602398157,0.0459056980907917,0.0002500000118743628
0.002635385375469923,0.04084095358848572,0.0033396969083696604,0.0454290546476841,0.0002500000118743628
0.0022861671168357134,0.03794688358902931,0.0029605766758322716,0.04244805872440338,0.0002500000118743628
0.0024428567849099636,0.038822583854198456,0.0033083148300647736,0.04523690789937973,0.0002500000118743628
