model,test_rows,threshold,accuracy,balanced_accuracy,precision,recall,f1,specificity,roc_auc,pr_auc,mcc,tn,fp,fn,tp
Majority Class,766,0.5,0.881201044386423,0.5,0.0,0.0,0.0,1.0,0.5,0.11879895561357702,0.0,675,0,91,0
Multinomial Naive Bayes,766,0.5,0.9830287206266318,0.9285714285714286,1.0,0.8571428571428571,0.9230769230769231,1.0,0.9886365486365486,0.9757192839524576,0.9170315391816253,675,0,13,78
TF-IDF + Logistic Regression,766,0.5,0.9882506527415144,0.9695645095645096,0.9555555555555556,0.945054945054945,0.9502762430939227,0.9940740740740741,0.9943345543345543,0.9800629717551668,0.9436332608892534,671,4,5,86
Simple RNN,766,0.255,0.9804177545691906,0.9603663003663003,0.9042553191489362,0.9340659340659341,0.918918918918919,0.9866666666666667,0.9868945868945869,0.9609994145030986,0.9079408157661117,666,9,6,85
