class,precision,recall,f1-score,support
ham,0.9910714285714286,0.9866666666666667,0.9888641425389755,675.0
spam,0.9042553191489362,0.9340659340659341,0.918918918918919,91.0
accuracy,0.9804177545691906,0.9804177545691906,0.9804177545691906,0.9804177545691906
macro avg,0.9476633738601824,0.9603663003663003,0.9538915307289473,766.0
weighted avg,0.9807577654416025,0.9804177545691906,0.9805547230227547,766.0
