threshold,accuracy,balanced_accuracy,precision,recall,f1
0.1,0.9437908496732026,0.9440740740740741,0.6910569105691057,0.9444444444444444,0.7981220657276995
0.10500000000000001,0.9437908496732026,0.9440740740740741,0.6910569105691057,0.9444444444444444,0.7981220657276995
0.11,0.9450980392156862,0.9448148148148148,0.6967213114754098,0.9444444444444444,0.8018867924528302
0.115,0.9477124183006536,0.9462962962962963,0.7083333333333334,0.9444444444444444,0.8095238095238095
0.12000000000000001,0.9503267973856209,0.9477777777777778,0.7203389830508474,0.9444444444444444,0.8173076923076923
0.125,0.954248366013072,0.95,0.7391304347826086,0.9444444444444444,0.8292682926829268
0.13,0.9594771241830066,0.952962962962963,0.7657657657657657,0.9444444444444444,0.845771144278607
0.135,0.9620915032679739,0.9544444444444444,0.7798165137614679,0.9444444444444444,0.8542713567839196
0.14,0.9633986928104575,0.9551851851851851,0.7870370370370371,0.9444444444444444,0.8585858585858586
0.14500000000000002,0.9660130718954248,0.9566666666666667,0.8018867924528302,0.9444444444444444,0.8673469387755102
0.15000000000000002,0.9699346405228758,0.9588888888888889,0.8252427184466019,0.9444444444444444,0.8808290155440415
0.155,0.9699346405228758,0.9588888888888889,0.8252427184466019,0.9444444444444444,0.8808290155440415
0.16,0.9725490196078431,0.9603703703703703,0.8415841584158416,0.9444444444444444,0.8900523560209425
0.165,0.9738562091503268,0.961111111111111,0.85,0.9444444444444444,0.8947368421052632
0.17,0.9738562091503268,0.961111111111111,0.85,0.9444444444444444,0.8947368421052632
0.175,0.9738562091503268,0.961111111111111,0.85,0.9444444444444444,0.8947368421052632
0.18,0.9738562091503268,0.961111111111111,0.85,0.9444444444444444,0.8947368421052632
0.185,0.9764705882352941,0.9625925925925926,0.8673469387755102,0.9444444444444444,0.9042553191489362
0.19,0.9764705882352941,0.9625925925925926,0.8673469387755102,0.9444444444444444,0.9042553191489362
0.195,0.9764705882352941,0.9625925925925926,0.8673469387755102,0.9444444444444444,0.9042553191489362
0.2,0.9764705882352941,0.9625925925925926,0.8673469387755102,0.9444444444444444,0.9042553191489362
0.20500000000000002,0.9764705882352941,0.9625925925925926,0.8673469387755102,0.9444444444444444,0.9042553191489362
0.21000000000000002,0.9764705882352941,0.9625925925925926,0.8673469387755102,0.9444444444444444,0.9042553191489362
0.21500000000000002,0.9764705882352941,0.9625925925925926,0.8673469387755102,0.9444444444444444,0.9042553191489362
0.22,0.9777777777777777,0.9633333333333334,0.8762886597938144,0.9444444444444444,0.9090909090909091
0.225,0.9803921568627451,0.9648148148148148,0.8947368421052632,0.9444444444444444,0.918918918918919
0.23,0.9803921568627451,0.9648148148148148,0.8947368421052632,0.9444444444444444,0.918918918918919
0.23500000000000001,0.9803921568627451,0.9648148148148148,0.8947368421052632,0.9444444444444444,0.918918918918919
0.24000000000000002,0.9803921568627451,0.9648148148148148,0.8947368421052632,0.9444444444444444,0.918918918918919
0.245,0.9816993464052287,0.9655555555555555,0.9042553191489362,0.9444444444444444,0.9239130434782609
0.25,0.9816993464052287,0.9655555555555555,0.9042553191489362,0.9444444444444444,0.9239130434782609
0.255,0.984313725490196,0.967037037037037,0.9239130434782609,0.9444444444444444,0.9340659340659341
0.26,0.984313725490196,0.967037037037037,0.9239130434782609,0.9444444444444444,0.9340659340659341
0.265,0.984313725490196,0.967037037037037,0.9239130434782609,0.9444444444444444,0.9340659340659341
0.27,0.984313725490196,0.967037037037037,0.9239130434782609,0.9444444444444444,0.9340659340659341
0.275,0.9830065359477124,0.9614814814814815,0.9230769230769231,0.9333333333333333,0.9281767955801105
0.28,0.9830065359477124,0.9614814814814815,0.9230769230769231,0.9333333333333333,0.9281767955801105
0.28500000000000003,0.9830065359477124,0.9614814814814815,0.9230769230769231,0.9333333333333333,0.9281767955801105
0.29000000000000004,0.9830065359477124,0.9614814814814815,0.9230769230769231,0.9333333333333333,0.9281767955801105
0.29500000000000004,0.9830065359477124,0.9614814814814815,0.9230769230769231,0.9333333333333333,0.9281767955801105
0.30000000000000004,0.9830065359477124,0.9614814814814815,0.9230769230769231,0.9333333333333333,0.9281767955801105
0.30500000000000005,0.9830065359477124,0.9614814814814815,0.9230769230769231,0.9333333333333333,0.9281767955801105
0.31,0.9830065359477124,0.9614814814814815,0.9230769230769231,0.9333333333333333,0.9281767955801105
0.315,0.9830065359477124,0.9614814814814815,0.9230769230769231,0.9333333333333333,0.9281767955801105
0.32,0.9830065359477124,0.9614814814814815,0.9230769230769231,0.9333333333333333,0.9281767955801105
0.325,0.9816993464052287,0.955925925925926,0.9222222222222223,0.9222222222222223,0.9222222222222223
0.33,0.9816993464052287,0.955925925925926,0.9222222222222223,0.9222222222222223,0.9222222222222223
0.335,0.9816993464052287,0.955925925925926,0.9222222222222223,0.9222222222222223,0.9222222222222223
0.33999999999999997,0.9816993464052287,0.955925925925926,0.9222222222222223,0.9222222222222223,0.9222222222222223
0.345,0.9830065359477124,0.9566666666666668,0.9325842696629213,0.9222222222222223,0.9273743016759777
0.35,0.9830065359477124,0.9566666666666668,0.9325842696629213,0.9222222222222223,0.9273743016759777
0.355,0.984313725490196,0.9574074074074075,0.9431818181818182,0.9222222222222223,0.9325842696629213
0.36,0.984313725490196,0.9574074074074075,0.9431818181818182,0.9222222222222223,0.9325842696629213
0.365,0.984313725490196,0.9574074074074075,0.9431818181818182,0.9222222222222223,0.9325842696629213
0.37,0.984313725490196,0.9574074074074075,0.9431818181818182,0.9222222222222223,0.9325842696629213
0.375,0.984313725490196,0.9574074074074075,0.9431818181818182,0.9222222222222223,0.9325842696629213
0.38,0.984313725490196,0.9574074074074075,0.9431818181818182,0.9222222222222223,0.9325842696629213
0.385,0.984313725490196,0.9574074074074075,0.9431818181818182,0.9222222222222223,0.9325842696629213
0.39,0.984313725490196,0.9574074074074075,0.9431818181818182,0.9222222222222223,0.9325842696629213
0.395,0.984313725490196,0.9574074074074075,0.9431818181818182,0.9222222222222223,0.9325842696629213
0.4,0.984313725490196,0.9574074074074075,0.9431818181818182,0.9222222222222223,0.9325842696629213
0.405,0.984313725490196,0.9574074074074075,0.9431818181818182,0.9222222222222223,0.9325842696629213
0.41000000000000003,0.984313725490196,0.9574074074074075,0.9431818181818182,0.9222222222222223,0.9325842696629213
0.41500000000000004,0.984313725490196,0.9574074074074075,0.9431818181818182,0.9222222222222223,0.9325842696629213
0.42000000000000004,0.9830065359477124,0.9518518518518518,0.9425287356321839,0.9111111111111111,0.9265536723163842
0.42500000000000004,0.9816993464052287,0.9462962962962963,0.9418604651162791,0.9,0.9204545454545454
0.43000000000000005,0.9816993464052287,0.9462962962962963,0.9418604651162791,0.9,0.9204545454545454
0.43500000000000005,0.9816993464052287,0.9462962962962963,0.9418604651162791,0.9,0.9204545454545454
0.44000000000000006,0.9816993464052287,0.9462962962962963,0.9418604651162791,0.9,0.9204545454545454
0.44500000000000006,0.9816993464052287,0.9462962962962963,0.9418604651162791,0.9,0.9204545454545454
0.45000000000000007,0.9816993464052287,0.9462962962962963,0.9418604651162791,0.9,0.9204545454545454
0.45499999999999996,0.9816993464052287,0.9462962962962963,0.9418604651162791,0.9,0.9204545454545454
0.45999999999999996,0.9816993464052287,0.9462962962962963,0.9418604651162791,0.9,0.9204545454545454
0.46499999999999997,0.9816993464052287,0.9462962962962963,0.9418604651162791,0.9,0.9204545454545454
0.47,0.9816993464052287,0.9462962962962963,0.9418604651162791,0.9,0.9204545454545454
0.475,0.9816993464052287,0.9462962962962963,0.9418604651162791,0.9,0.9204545454545454
0.48,0.9803921568627451,0.9407407407407407,0.9411764705882353,0.8888888888888888,0.9142857142857143
0.485,0.9803921568627451,0.9407407407407407,0.9411764705882353,0.8888888888888888,0.9142857142857143
