epoch,accuracy,loss,pr_auc,precision,recall,roc_auc,val_accuracy,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc,learning_rate
1,0.6232492923736572,0.5222865343093872,0.5402031540870667,0.22499999403953552,0.8978622555732727,0.8612623810768127,0.7620915174484253,0.77451092004776,0.7634944915771484,0.32706767320632935,0.9666666388511658,0.9423621296882629,0.0007999999797903001
2,0.9540616273880005,0.2470167875289917,0.8730229735374451,0.7447618842124939,0.9287410974502563,0.9571744799613953,0.9084967374801636,0.34402382373809814,0.939171552658081,0.5641025900840759,0.9777777791023254,0.9823785424232483,0.0007999999797903001
3,0.973109245300293,0.12972398102283478,0.9711034297943115,0.8309572339057922,0.9691211581230164,0.9898048043251038,0.9803921580314636,0.10105504840612411,0.9632356762886047,0.8865979313850403,0.9555555582046509,0.9862633943557739,0.0007999999797903001
4,0.9932773113250732,0.04853219911456108,0.994929313659668,0.9584295749664307,0.9857482314109802,0.9984883666038513,0.9633986949920654,0.10740619897842407,0.9663323163986206,0.7818182110786438,0.9555555582046509,0.9870370030403137,0.0007999999797903001
5,0.9971988797187805,0.018436724320054054,0.999751091003418,0.9790209531784058,0.9976246953010559,0.9999672174453735,0.9725490212440491,0.08405725657939911,0.9647549390792847,0.8349514603614807,0.9555555582046509,0.984600841999054,0.0007999999797903001
6,0.9949579834938049,0.03172587230801582,0.9959126710891724,0.9675173759460449,0.9904988408088684,0.9979158043861389,0.9803921580314636,0.06543376296758652,0.9590404629707336,0.9411764740943909,0.8888888955116272,0.9807736277580261,0.0007999999797903001
7,0.998039186000824,0.017627373337745667,0.9996065497398376,0.98591548204422,0.9976246953010559,0.9999408721923828,0.9843137264251709,0.06524882465600967,0.9659366607666016,0.9239130616188049,0.9444444179534912,0.9779424667358398,0.0007999999797903001
8,0.9997198581695557,0.006103065330535173,1.0,0.9976303577423096,1.0,1.0000001192092896,0.9843137264251709,0.07147086411714554,0.9400097131729126,0.9534883499145508,0.9111111164093018,0.9777448177337646,0.0007999999797903001
9,0.9997198581695557,0.004353665746748447,1.0,0.9976303577423096,1.0,1.0,0.9830065369606018,0.09031256288290024,0.9300245642662048,0.9529411792755127,0.8999999761581421,0.9715965986251831,0.0007999999797903001
10,0.9997198581695557,0.003271005116403103,1.0,0.9976303577423096,1.0,1.0,0.9830065369606018,0.09341288357973099,0.925764799118042,0.9529411792755127,0.8999999761581421,0.9665842652320862,0.00039999998989515007
