epoch,training_loss,validation_loss,validation_top1_accuracy,validation_top5_accuracy
1,4.934309973371525,4.44378049640353,0.13009001285897986,0.345049292756108
2,4.186703409601407,4.044809407856758,0.1564509215602229,0.41298756965280753
3,3.853143436409664,3.8372190552518135,0.17681097299614232,0.468495499357051
4,3.6427175704700088,3.684955087078011,0.18345477925417916,0.5060008572653236
5,3.5011406189212733,3.591593079540385,0.19074153450492928,0.5261465923703387
6,3.4104232656422755,3.5351511870031445,0.19481354479211316,0.5312901843120446
7,3.350187888384605,3.498674105330695,0.1982426060865838,0.5319331333047578
8,3.3086957407751587,3.467938135378462,0.2023146163737677,0.5345049292756108
9,3.275199900832098,3.4502179547026595,0.1922417488212602,0.535147878268324
10,3.245477252905087,3.434250424974117,0.19888555507929703,0.5332190312901843
11,3.221669123729894,3.4185978698975736,0.20017145306472353,0.5330047149592799
12,3.200796344112688,3.404827494709164,0.19909987141020147,0.539219888555508
13,3.182303068019031,3.396643771156445,0.20188598371195884,0.5347192456065152
14,3.16648663353727,3.3864146528763164,0.1982426060865838,0.5323617659665667
15,3.152339651830096,3.3746495352147017,0.19995713673381912,0.5372910415773682
16,3.138203184095487,3.367474663170734,0.2012430347192456,0.5347192456065152
17,3.125788382641964,3.36271564734631,0.19995713673381912,0.5321474496356622
18,3.11647240018437,3.3563179678534727,0.19781397342477497,0.5336476639519931
19,3.107962758343252,3.3484456472727957,0.2038148306900986,0.5312901843120446
20,3.098136609653381,3.3443117426844866,0.2027432490355765,0.5332190312901843
21,3.090893084491216,3.338124324975993,0.19738534076296613,0.534076296613802
22,3.0841335842870747,3.3334281189064585,0.19867123874839263,0.5362194599228461
23,3.0774475438970508,3.3295632902767545,0.20210030004286328,0.5353621945992285
24,3.072696556580735,3.3253700544125935,0.19588512644663522,0.5364337762537505
25,3.0669015886671955,3.3257403668036956,0.19995713673381912,0.536648092584655
26,3.060458963419993,3.323120980522329,0.19738534076296613,0.536648092584655
27,3.0568634707282554,3.320387736952872,0.20445777968281184,0.535147878268324
28,3.052735069243736,3.3162521580182274,0.19609944277753966,0.5372910415773682
29,3.0488191485107374,3.316113228456585,0.20145735105015003,0.5349335619374196
30,3.0467824341084073,3.3142180361054865,0.2038148306900986,0.5330047149592799
31,3.0467590845445525,3.3105635275107006,0.20510072867552506,0.535147878268324
32,3.0425617701708436,3.312922445020091,0.20188598371195884,0.535147878268324
33,3.0415797631817583,3.3142962965697524,0.20445777968281184,0.531504500642949
34,3.0382367378735258,3.3131152302013973,0.19738534076296613,0.5353621945992285
35,3.0356533896572264,3.3127895234431315,0.2053150450064295,0.534076296613802
36,3.0334928684673255,3.3143948708488047,0.19909987141020147,0.534076296613802
37,3.0327027436689344,3.3091817714602865,0.19074153450492928,0.5353621945992285
38,3.029566166214958,3.308523594030126,0.2010287183883412,0.535147878268324
39,3.0263766368765253,3.309739379682512,0.1969567081011573,0.5334333476210887
40,3.025723081140441,3.3101612820525155,0.20360051435919416,0.5355765109301329
41,3.024534965609357,3.3109919763255213,0.20038576939562794,0.5349335619374196
42,3.025311630137777,3.3086462189494106,0.20017145306472353,0.5357908272610373
43,3.0243370785674597,3.3084387997930977,0.20488641234462066,0.5381483069009858
44,3.021796655380759,3.3118593928847657,0.19845692241748822,0.536648092584655
45,3.0188528065133524,3.309375490081499,0.19652807543934847,0.5394342048864124
46,3.0206361657796337,3.3143761026159253,0.19781397342477497,0.5357908272610373
47,3.0179389126948846,3.3118609878263707,0.19759965709387056,0.5355765109301329
48,3.0179877281549685,3.3123412728054147,0.1982426060865838,0.5394342048864124
49,3.0151248841235567,3.306958723926667,0.20767252464637806,0.5375053579082726
50,3.01502090478342,3.3086791027271847,0.20810115730818687,0.5364337762537505
51,3.0130396389421965,3.3107331220142022,0.19909987141020147,0.534076296613802
52,3.0131326363824193,3.3103159699274447,0.19867123874839263,0.5368624089155594
53,3.011318447099474,3.3143531243994264,0.19588512644663522,0.535147878268324
54,3.012542724032221,3.3121850115518123,0.19995713673381912,0.536648092584655
55,3.010698853755414,3.3119963376347314,0.2055293613373339,0.5353621945992285
56,3.0105982588264366,3.3132665569159894,0.19909987141020147,0.5334333476210887
57,3.0096743522933775,3.316879403575827,0.1967423917702529,0.5372910415773682
58,3.0081116657537,3.3147638274322393,0.20317188169738534,0.5347192456065152
59,3.005708223356314,3.3125947628519947,0.20081440205743678,0.5370767252464638
