representation,vector_type,captures_similarity,preserves_word_order,portfolio_role,domain_purity_at_5
One-hot encoding,Sparse,No,No,Conceptual baseline,
Bag-of-Words,Sparse,Limited,No,Frequency baseline,
TF-IDF,Sparse,Document-level only,No,Weighted baseline,
TF-IDF + Truncated SVD,Dense,Latent co-occurrence,No,Original-project LSA baseline,0.8060606060606059
Neural skip-gram embedding,Dense,Learned local context,Through context windows,Primary model,0.9434343434343435
