class,precision,recall,f1-score,support
negative,0.8109243697478992,0.6390728476821192,0.7148148148148148,302.0
positive,0.6988950276243094,0.8489932885906041,0.7666666666666667,298.0
accuracy,0.7433333333333333,0.7433333333333333,0.7433333333333333,0.7433333333333333
macro avg,0.7549096986861044,0.7440330681363616,0.7407407407407407,600.0
weighted avg,0.7552831298265162,0.7433333333333333,0.7405679012345678,600.0
