model,threshold,accuracy,balanced_accuracy,precision,recall,f1,specificity,roc_auc,pr_auc,mcc,test_rows,tn,fp,fn,tp
Majority Class,0.5,0.49666666666666665,0.5,0.49666666666666665,1.0,0.6636971046770601,0.0,0.5,0.49666666666666665,0.0,600,0,302,0,298
Simple RNN,0.43,0.7433333333333333,0.7440330681363616,0.6988950276243094,0.8489932885906041,0.7666666666666667,0.6390728476821192,0.8201031156940308,0.799235807145052,0.4988242009689806,600,193,109,45,253
TF-IDF + Logistic Regression,0.5,0.8666666666666667,0.8668163029467977,0.8493589743589743,0.889261744966443,0.8688524590163934,0.8443708609271523,0.9382416996310947,0.939311197123854,0.7342039010198584,600,255,47,33,265
