epoch,loss,accuracy,val_loss,val_chunk_accuracy,val_accuracy,val_roc_auc
1,0.6946845517079975,0.5112781954887218,0.6911752575726547,0.5286024619840695,0.57,0.5742839274546592
2,0.687156961120417,0.5429645542427497,0.6903266163082937,0.5286024619840695,0.56,0.5870919324577861
3,0.6805371954967759,0.5717866093805943,0.6894009228981897,0.5293265749456916,0.57,0.5991744840525328
4,0.6741964264108936,0.5843179377013964,0.6887634981809363,0.5452570601013759,0.5725,0.6084803001876172
5,0.6644177789377389,0.6100966702470462,0.6913744381249253,0.5372918175235337,0.5875,0.6039524702939337
6,0.648176939138323,0.6262083780880774,0.6970512138856312,0.5249818971759594,0.575,0.6042276422764228
7,0.6312673424803736,0.6460794844253491,0.7087725039239727,0.5228095582910934,0.5725,0.6060037523452158
8,0.6058800521393723,0.6781238811313999,0.7264527489446713,0.5184648805213613,0.5475,0.5918949343339587
