threshold,accuracy,balanced_accuracy,precision,recall,f1
0.2,0.635,0.6280175109443402,0.5942492012779552,0.9073170731707317,0.7181467181467182
0.20500000000000002,0.6325,0.6255784865540963,0.592948717948718,0.9024390243902439,0.7156673114119922
0.21000000000000002,0.6375,0.6307066916823014,0.5967741935483871,0.9024390243902439,0.7184466019417476
0.21500000000000002,0.6425,0.6358348968105065,0.6006493506493507,0.9024390243902439,0.7212475633528265
0.22000000000000003,0.6425,0.6359599749843652,0.6013071895424836,0.8975609756097561,0.7201565557729941
0.225,0.645,0.6385240775484677,0.6032786885245902,0.8975609756097561,0.7215686274509804
0.23,0.6525,0.6462163852407755,0.609271523178808,0.8975609756097561,0.7258382642998028
0.23500000000000001,0.65,0.6437773608505316,0.6079734219269103,0.8926829268292683,0.7233201581027668
0.24000000000000002,0.6525,0.6463414634146342,0.61,0.8926829268292683,0.7247524752475247
0.24500000000000002,0.6525,0.6463414634146342,0.61,0.8926829268292683,0.7247524752475247
0.25,0.6525,0.6464665415884928,0.610738255033557,0.8878048780487805,0.7236580516898609
0.255,0.6525,0.6465916197623515,0.6114864864864865,0.8829268292682927,0.7225548902195609
0.26,0.6525,0.6465916197623515,0.6114864864864865,0.8829268292682927,0.7225548902195609
0.265,0.6525,0.6467166979362101,0.6122448979591837,0.8780487804878049,0.7214428857715431
0.27,0.6525,0.6468417761100688,0.613013698630137,0.8731707317073171,0.7203219315895373
0.275,0.6575,0.651969981238274,0.6172413793103448,0.8731707317073171,0.7232323232323232
0.28,0.66,0.6546591619762352,0.6202090592334495,0.8682926829268293,0.7235772357723578
0.28500000000000003,0.6625,0.6573483427141964,0.6232394366197183,0.8634146341463415,0.7239263803680982
0.29000000000000004,0.6675,0.6624765478424015,0.6276595744680851,0.8634146341463415,0.7268993839835729
0.29500000000000004,0.6675,0.6624765478424015,0.6276595744680851,0.8634146341463415,0.7268993839835729
0.30000000000000004,0.6675,0.6624765478424015,0.6276595744680851,0.8634146341463415,0.7268993839835729
0.30500000000000005,0.6675,0.6626016260162602,0.6285714285714286,0.8585365853658536,0.7257731958762886
0.31000000000000005,0.6725,0.6677298311444653,0.6330935251798561,0.8585365853658536,0.7287784679089027
0.31500000000000006,0.675,0.6704190118824265,0.6363636363636364,0.8536585365853658,0.7291666666666666
0.32000000000000006,0.68,0.6756722951844902,0.6420664206642066,0.848780487804878,0.7310924369747899
0.32500000000000007,0.685,0.6808005003126953,0.6468401486988847,0.848780487804878,0.7341772151898734
0.33000000000000007,0.6825,0.6783614759224514,0.6455223880597015,0.8439024390243902,0.7315010570824524
0.3350000000000001,0.685,0.6810506566604128,0.6490566037735849,0.8390243902439024,0.7319148936170212
