epoch,loss,accuracy,val_loss,val_accuracy
1,3.259605955702362,0.19024856596558318,2.7763669025762607,0.26920507682030725
2,2.7149331651026403,0.2883512281217826,2.522579721713273,0.2952571810287241
3,2.5311085135643228,0.3155611119282247,2.3958294270591254,0.32665330661322645
4,2.4238805774380694,0.3350492719517576,2.303077674342062,0.33867735470941884
5,2.3509562490336737,0.3524047654066775,2.2384051289172993,0.3620574482297929
6,2.2918068683047492,0.36314163847624653,2.1887484031593156,0.37675350701402804
7,2.2388474084573873,0.37659949992645975,2.1500976678125845,0.38810955243820977
8,2.19995736581365,0.38498308574790413,2.1121520761975305,0.3967935871743487
9,2.1615813876762338,0.396528901309016,2.0824011553902584,0.4081496325985304
10,2.1281524495633843,0.4025591998823356,2.066679608606862,0.4088176352705411
11,2.103665003444819,0.4096190616267098,2.0435837827369063,0.41082164328657317
12,2.0710953599408297,0.42006177379026327,2.0283279396648317,0.4168336673346693
13,2.053667450919013,0.423150463303427,2.0129460882328316,0.42618570474281897
14,2.0334801203644544,0.43013678482129725,1.9892469426354489,0.4241816967267869
15,2.015231270775372,0.4326371525224298,1.978179293070623,0.4315297261189045
16,1.9957720489252277,0.4330048536549493,1.9684496170373942,0.4422177688710755
17,1.982851138727194,0.4404324165318429,1.9635254372416453,0.43687374749499
18,1.971303861778367,0.43991763494631564,1.9542904248935187,0.4408817635270541
